ID,BLAST_Name,BLAST_%,Phylum,Class,Order,Family,Genus,BOLD_Species,BOLD_%,Hits_Count,Status
1-9999,"Stylaria lacustris isolate STYlage cytochrome oxidase subunit I (COI) gene, partial cds; mitochondrial gene for mitochondrial product",95.352,Annelida,Clitellata,Tubificida,Naididae,Stylaria,Stylaria lacustris,98.45,24.0,Reliable
1009-590,"Uncultured bdelloid rotifer clone ST_1B_08G_62 cytochrome oxidase subunit 1 (cox1) gene, partial cds; mitochondrial<>Uncultured bdelloid rotifer clone ST_1B_09D_67 cytochrome oxidase subunit 1 (cox1) gene, partial cds; mitochondrial",97.561,,,,,,,,,Reliable
1009-590,"Uncultured bdelloid rotifer clone WT_1D_B_25 cytochrome oxidase subunit 1 (cox1) gene, partial cds; mitochondrial",97.561,,,,,,,,,Reliable
101-8729,"Invertebrate environmental sample clone A06 cytochrome oxidase subunit I (COI) gene, partial cds; mitochondrial",98.501,,,,,,,,,Reliable
1029-558,"Thymallus grubii isolate BUR119 cytochrome c oxidase subunit I (COX1) gene, partial cds; mitochondrial",97.778,,,,,,,,,Reliable
1032-554,"Atrina vexillum haplotype 2 cytochrome oxidase subunit I (COI) gene, partial cds; mitochondrial",97.727,,,,,,,,,Reliable
1032-554,"Atrina vexillum haplotype 1 cytochrome oxidase subunit I (COI) gene, partial cds; mitochondrial",97.674,,,,,,,,,Reliable
1032-554,"Atrina vexillum cytochrome oxidase subunit I (COI) gene, partial cds; mitochondrial",97.674,,,,,,,,,Reliable
1032-554,"Scopelocheirus schellenbergi clone SS1_BsaBI_3 cytochrome oxidase subunit I (COI) gene, partial cds; mitochondrial",97.674,,,,,,,,,Reliable
1032-554,"Leiostyla recta isolate 5O2ZX cytochrome oxidase subunit I (COI) gene, partial cds; mitochondrial",100.0,,,,,,,,,Reliable
1032-554,"Tolumnia basalis isolate Attur cytochrome c oxidase subunit I (COX1) gene, partial cds; mitochondrial",100.0,,,,,,,,,Reliable
1032-554,"Cyamus ovalis isolate osARmr01 (OPV1) cytochrome oxidase subunit I (COI) gene, complete cds; mitochondrial",100.0,,,,,,,,,Reliable
1032-554,"Cheyletus malaccensis clone FY_2 cytochrome c oxidase subunit I (COI) gene, partial cds; mitochondrial",97.561,,,,,,,,,Reliable
1032-554,"Cheyletus malaccensis clone FY_1 cytochrome c oxidase subunit I (COI) gene, partial cds; mitochondrial",97.561,,,,,,,,,Reliable
1032-554,"Halyomorpha picus cytochrome c oxidase subunit I gene, partial cds; mitochondrial",100.0,,,,,,,,,Reliable
1032-554,"Halyomorpha picus cytochrome oxidase subunit I gene, partial cds; mitochondrial",100.0,,,,,,,,,Reliable
1032-554,"Hirudinaria manillensis cytochrome oxidase subunit I (COI) gene, partial cds; mitochondrial",97.561,,,,,,,,,Reliable
1032-554,"Cheyletus malaccensis isolate C.m1 cytochrome oxidase subunit I (COI) gene, partial cds; mitochondrial",97.561,,,,,,,,,Reliable
1032-554,"Maoricicada iolanthe mitochondrion, partial genome",100.0,,,,,,,,,Reliable
1032-554,"Cassidoloma sp. CO939 cytochrome oxidase subunit I (COI) gene, partial cds; mitochondrial",100.0,,,,,,,,,Reliable
1032-554,"Cheyletus malaccensis haplotype 48 cytochrome oxidase subunit I (COI) gene, partial cds; mitochondrial",97.561,,,,,,,,,Reliable
1032-554,"Cheyletus malaccensis haplotype 47 cytochrome oxidase subunit I (COI) gene, partial cds; mitochondrial",97.561,,,,,,,,,Reliable
1032-554,"Cheyletus malaccensis haplotype 44 cytochrome oxidase subunit I (COI) gene, partial cds; mitochondrial",97.561,,,,,,,,,Reliable
1032-554,"Cheyletus malaccensis haplotype 39 cytochrome oxidase subunit I (COI) gene, partial cds; mitochondrial",97.561,,,,,,,,,Reliable
1032-554,"Cheyletus malaccensis haplotype 35 cytochrome oxidase subunit I (COI) gene, partial cds; mitochondrial",97.561,,,,,,,,,Reliable
1032-554,"Cheyletus malaccensis haplotype 34 cytochrome oxidase subunit I (COI) gene, partial cds; mitochondrial",97.561,,,,,,,,,Reliable
1032-554,"Cheyletus malaccensis haplotype 32 cytochrome oxidase subunit I (COI) gene, partial cds; mitochondrial",97.561,,,,,,,,,Reliable
1032-554,"Cheyletus malaccensis haplotype 29 cytochrome oxidase subunit I (COI) gene, partial cds; mitochondrial",97.561,,,,,,,,,Reliable
1032-554,"Cheyletus malaccensis haplotype 13 cytochrome oxidase subunit I (COI) gene, partial cds; mitochondrial",97.561,,,,,,,,,Reliable
1032-554,"Cheyletus malaccensis haplotype 3 cytochrome oxidase subunit I (COI) gene, partial cds; mitochondrial",97.561,,,,,,,,,Reliable
1032-554,"Chicoreus sp. HZ mitochondrial COX1 gene for cytochrome c oxidase subunit 1, partial cds",100.0,,,,,,,,,Reliable
1032-554,"Cletomorpha raja mitochondrion, complete genome<>Cletomorpha raja mitochondrion, complete genome",100.0,,,,,,,,,Reliable
1032-554,"Bemisia tabaci COI11-2-15 mitochondrial COI gene for cytochrome c oxidase subunit I, partial cds",100.0,,,,,,,,,Reliable
1032-554,"Coreidae sp. isolate 19091703 cytochrome c oxidase subunit I (COX1) gene, partial cds; mitochondrial",100.0,,,,,,,,,Reliable
1032-554,"Ovalipes punctatus voucher NSMK-MS-0024828 cytochrome c oxidase subunit I (COX1) gene, partial cds; mitochondrial",100.0,,,,,,,,,Reliable
1032-554,"Thalamita sima voucher NSMK-MS-0024757 cytochrome c oxidase subunit I (COX1) gene, partial cds; mitochondrial",100.0,,,,,,,,,Reliable
1032-554,"Thalamita sima voucher NSMK-MS-0024756 cytochrome c oxidase subunit I (COX1) gene, partial cds; mitochondrial<>Thalamita sima voucher NSMK-MS-0024758 cytochrome c oxidase subunit I (COX1) gene, partial cds; mitochondrial",100.0,,,,,,,,,Reliable
1032-554,"Calisto grannus voucher CP19-08 cytochrome c oxidase subunit I (COI) gene, partial cds; mitochondrial",97.561,,,,,,,,,Reliable
1032-554,"Lycalopex gymnocercus isolate F152-180313-1,6-LYC cytochrome c oxidase subunit 1 (COI) gene, partial cds; mitochondrial",100.0,,,,,,,,,Reliable
1032-554,"Cheyletus malaccensis isolate NG-Z2 cytochrome c oxidase subunit I (COX1) gene, partial cds; mitochondrial",97.561,,,,,,,,,Reliable
1032-554,"Cheyletus malaccensis isolate NG-Z1 cytochrome c oxidase subunit I (COX1) gene, partial cds; mitochondrial",97.561,,,,,,,,,Reliable
1032-554,"Phyllorhiza pacifica voucher M0D21426B_IDJISUY cytochrome oxidase subunit I (COI) gene, partial cds; mitochondrial",100.0,,,,,,,,,Reliable
1032-554,"Cheyletus malaccensis isolate h39 cytochrome oxidase subunit I (COI) gene, partial cds; mitochondrial<>Cheyletus malaccensis haplotype 27 cytochrome oxidase subunit I (COI) gene, partial cds; mitochondrial",97.561,,,,,,,,,Reliable
1032-554,"Cheyletus malaccensis isolate h38 cytochrome oxidase subunit I (COI) gene, partial cds; mitochondrial<>Cheyletus malaccensis haplotype 26 cytochrome oxidase subunit I (COI) gene, partial cds; mitochondrial",97.561,,,,,,,,,Reliable
1032-554,"Cheyletus malaccensis isolate h37 cytochrome oxidase subunit I (COI) gene, partial cds; mitochondrial<>Cheyletus malaccensis haplotype 25 cytochrome oxidase subunit I (COI) gene, partial cds; mitochondrial",97.561,,,,,,,,,Reliable
1032-554,"Cheyletus malaccensis isolate h36 cytochrome oxidase subunit I (COI) gene, partial cds; mitochondrial<>Cheyletus malaccensis haplotype 43 cytochrome oxidase subunit I (COI) gene, partial cds; mitochondrial",97.561,,,,,,,,,Reliable
1032-554,"Cheyletus malaccensis isolate h35 cytochrome oxidase subunit I (COI) gene, partial cds; mitochondrial<>Cheyletus malaccensis haplotype 42 cytochrome oxidase subunit I (COI) gene, partial cds; mitochondrial",97.561,,,,,,,,,Reliable
1032-554,"Cheyletus malaccensis isolate h34 cytochrome oxidase subunit I (COI) gene, partial cds; mitochondrial<>Cheyletus malaccensis haplotype 41 cytochrome oxidase subunit I (COI) gene, partial cds; mitochondrial",97.561,,,,,,,,,Reliable
